key,bank,addr,pitch,flip,height,rows_walked,words,bytes,native,zoomed_seen,count,first_frame,w0,w1,w2,w3,w4,w5,w6,w7
3_1B3F_0009_040,3,0x1B3F,9,0,64,64,576,1224,1,0,1776,470,0xE0A0,0x010B,0x0009,0x1B3F,0xF380,0x0000,0x0000,0x1D87
4_CDCB_0015_01B,4,0xCDCB,21,0,27,27,547,1129,1,0,820,36,0xB89D,0x01FF,0x0015,0xCDCB,0xF480,0x0000,0x0000,0xD016
0_D9DA_0007_006,0,0xD9DA,7,0,6,6,42,98,1,0,602,658,0xB3AD,0x01E2,0x0007,0xD9DA,0xF081,0x0000,0x0000,0xDA0A
6_8116_0018_01F,6,0x8116,24,0,31,31,709,1457,0,580,580,2104,0x1F00,0x0136,0x0018,0x8116,0xF680,0x3A52,0x0000,0x85AD
0_9526_000C_047,0,0x9526,12,0,71,71,624,1327,1,0,345,465,0xB871,0x0138,0x000C,0x9526,0xF082,0x0000,0x0000,0x9883
4_01A9_0005_011,4,0x01A9,5,0,17,17,59,143,1,0,342,2772,0x6C5B,0x01BE,0x0005,0x01A9,0xF484,0x0000,0x0000,0x0200
6_8116_0018_026,6,0x8116,24,0,38,38,868,1782,0,311,311,1169,0x2701,0x012F,0x0018,0x8116,0xF684,0x5929,0x0000,0x85AD
1_60D1_0017_02B,1,0x60D1,23,0,43,43,818,1687,1,0,285,2702,0x5F34,0x0117,0x0017,0x60D1,0xF180,0x0000,0x0000,0x64B7
1_740B_0017_03D,1,0x740B,23,0,61,61,1052,2173,1,0,275,2778,0x8144,0x0161,0x0017,0x740B,0xF181,0x0000,0x0000,0x7992
3_77DF_0008_03D,3,0x77DF,8,0,61,61,461,991,1,0,271,584,0xB87B,0x01B5,0x0008,0x77DF,0xF387,0x0000,0x0000,0x79CE
1_12A4_0015_022,1,0x12A4,21,0,34,34,582,1206,1,0,235,1682,0xB896,0x01A5,0x0015,0x12A4,0xF182,0x0000,0x0000,0x1582
3_7EF0_0005_012,3,0x7EF0,5,0,18,18,75,176,1,0,225,572,0x4230,0x01C3,0x0005,0x7EF0,0xF388,0x0000,0x0000,0x7F4C
1_1BB4_000B_047,1,0x1BB4,11,0,71,71,618,1315,1,0,223,1055,0xB871,0x00F9,0x000B,0x1BB4,0xF18F,0x0000,0x0000,0x1ECA
1_64AE_0017_024,1,0x64AE,23,0,36,36,743,1530,1,0,194,2710,0x5D39,0x0112,0x0017,0x64AE,0xF180,0x0000,0x0000,0x67F3
3_7E9B_0005_011,3,0x7E9B,5,0,17,17,72,169,1,0,181,567,0x1706,0x01C9,0x0005,0x7E9B,0xF388,0x0000,0x0000,0x7EF2
3_77E6_0108_03D,3,0x77E6,8,1,61,61,432,933,1,0,179,640,0x783B,0x00E7,0x0108,0x77E6,0xF387,0x0000,0x0000,0x79C8
4_0055_0005_011,4,0x0055,5,0,17,17,64,153,1,0,168,2772,0x6C5B,0x01CE,0x0005,0x0055,0xF484,0x0000,0x0000,0x00AA
4_CD8B_0005_010,4,0xCD8B,5,0,16,16,78,180,1,0,155,1169,0x6F5F,0x0157,0x0005,0xCD8B,0xF481,0x0000,0x0000,0xCDDE
0_8540_0007_048,0,0x8540,7,0,72,72,427,934,1,0,154,467,0xB870,0x0159,0x0007,0x8540,0xF083,0x0000,0x0000,0x873E
0_9531_010C_047,0,0x9531,12,1,71,71,767,1613,1,0,153,603,0xB871,0x0126,0x010C,0x9531,0xF082,0x0000,0x0000,0x987B
4_00AA_0005_011,4,0x00AA,5,0,17,17,55,135,1,0,151,2773,0x6C5B,0x01DE,0x0005,0x00AA,0xF484,0x0000,0x0000,0x00FF
1_67EA_0017_026,1,0x67EA,23,0,38,38,777,1600,1,0,137,2718,0x5C36,0x010E,0x0017,0x67EA,0xF180,0x0000,0x0000,0x6B5D
3_7E00_0005_00F,3,0x7E00,5,0,15,15,66,155,1,0,128,589,0x9687,0x01BE,0x0005,0x7E00,0xF388,0x0000,0x0000,0x7E4F
4_00FF_0005_011,4,0x00FF,5,0,17,17,63,151,1,0,127,2774,0x6C5B,0x01ED,0x0005,0x00FF,0xF484,0x0000,0x0000,0x0154
3_79C7_0008_03D,3,0x79C7,8,0,61,61,461,991,1,0,121,569,0x4407,0x01BF,0x0008,0x79C7,0xF387,0x0000,0x0000,0x7BB6
3_7E4B_0005_010,3,0x7E4B,5,0,16,16,69,162,1,0,116,584,0x9888,0x01BF,0x0005,0x7E4B,0xF388,0x0000,0x0000,0x7E9D
1_6B54_0017_02D,1,0x6B54,23,0,45,45,863,1779,1,0,114,2726,0x5F32,0x010D,0x0017,0x6B54,0xF180,0x0000,0x0000,0x6F68
3_7EF4_0105_012,3,0x7EF4,5,1,18,18,82,190,1,0,112,628,0x4230,0x00E6,0x0105,0x7EF4,0xF388,0x0000,0x0000,0x7F4B
0_819F_000D_047,0,0x819F,13,0,71,71,681,1441,1,0,111,471,0xB871,0x0150,0x000D,0x819F,0xF083,0x0000,0x0000,0x8546
4_0154_0005_011,4,0x0154,5,0,17,17,49,123,1,0,111,2775,0x6C5B,0x01FD,0x0005,0x0154,0xF484,0x0000,0x0000,0x01A9
3_34A2_0116_030,3,0x34A2,22,1,48,48,989,2034,1,0,110,1763,0x7848,0x00D3,0x0116,0x34A2,0xF38C,0x0000,0x0000,0x38B4
1_797D_0020_03B,1,0x797D,32,0,59,59,1202,2471,1,0,96,2772,0x8348,0x0160,0x0020,0x797D,0xF181,0x0000,0x0000,0x80EC
3_8E49_0107_048,3,0x8E49,7,1,72,72,434,948,1,0,93,1855,0x9F57,0x009D,0x0107,0x8E49,0xF38F,0x0000,0x0000,0x903C
4_C866_000E_036,4,0xC866,14,0,54,54,702,1466,1,0,92,1169,0x935D,0x0166,0x000E,0xC866,0xF480,0x0000,0x0000,0xCB62
1_5BF7_0017_036,1,0x5BF7,23,0,54,54,989,2040,1,0,90,2734,0x602A,0x010A,0x0017,0x5BF7,0xF180,0x0000,0x0000,0x60DA
3_6051_0008_038,3,0x6051,8,0,56,56,364,792,1,0,90,1585,0xDEA6,0x01B9,0x0008,0x6051,0xF388,0x0000,0x0000,0x6218
3_79CE_0108_03D,3,0x79CE,8,1,61,61,448,965,1,0,89,625,0x4407,0x00E1,0x0108,0x79CE,0xF387,0x0000,0x0000,0x7BAF
4_02F8_0104_02B,4,0x02F8,4,1,43,43,162,375,1,0,87,2955,0xD1A6,0x01E3,0x0104,0x02F8,0xF48D,0x0000,0x0000,0x03A2
4_02F5_0004_02B,4,0x02F5,4,0,43,43,164,379,1,0,86,2953,0xD7AC,0x01DF,0x0004,0x02F5,0xF48D,0x0000,0x0000,0x03A4
3_7E04_0105_00F,3,0x7E04,5,1,15,15,70,163,1,0,85,646,0x5546,0x00EA,0x0105,0x7E04,0xF388,0x0000,0x0000,0x7E4C
3_3014_0116_035,3,0x3014,22,1,53,53,1059,2179,1,0,83,1752,0x5D28,0x00A9,0x0116,0x3014,0xF38C,0x0000,0x0000,0x3490
3_7E9F_0105_011,3,0x7E9F,5,1,17,17,78,181,1,0,83,623,0x1706,0x00E3,0x0105,0x7E9F,0xF388,0x0000,0x0000,0x7EF1
