key,bank,addr,pitch,flip,height,rows_walked,words,bytes,native,zoomed_seen,count,first_frame,w0,w1,w2,w3,w4,w5,w6,w7
2_FCBD_FFFF_032,2,0xFCBD,17,1,32,32,0,0,1,0,20,0,0x9070,0x0197,0x0111,0xFCBD,0xF2A4,0x0000,0x0000,0x0000
2_FBAE_FFFF_015,2,0xFBAE,3,0,15,15,0,0,1,0,5,0,0xC0B1,0x0197,0x0003,0xFBAE,0xF2A3,0x0000,0x0000,0x0000
2_FBB0_FFFF_015,2,0xFBB0,3,1,15,15,0,0,1,0,5,0,0xC0B1,0x01CF,0x0103,0xFBB0,0xF2A3,0x0000,0x0000,0x0000
2_FCBD_FFFF_048,2,0xFCBD,17,1,48,48,0,0,1,0,5,0,0xC090,0x0197,0x0111,0xFCBD,0xF2A4,0x0000,0x0000,0x0000
2_FDCD_FFFF_016,2,0xFDCD,17,1,16,16,0,0,1,0,5,0,0x1000,0x0197,0x0111,0xFDCD,0xF2A4,0x0000,0x0000,0x0000
2_FCAD_FFFF_032,2,0xFCAD,17,0,32,32,0,0,1,0,4,0,0x9070,0x0197,0x0011,0xFCAD,0xF2A3,0x0000,0x0000,0x0000
2_FBD1_FFFF_016,2,0xFBD1,14,0,16,16,0,0,1,0,3,0,0xC0B0,0x01A1,0x000E,0xFBD1,0xF2A3,0x0000,0x0000,0x0000
2_F8E6_FFFF_054,2,0xF8E6,13,0,54,54,0,0,1,0,2,0,0x5721,0x019F,0x000D,0xF8E6,0xF2A5,0x0000,0x0000,0x0000
2_CAA3_FFFF_029,2,0xCAA3,17,0,29,29,0,0,1,0,2,0,0xC0A3,0x01AB,0x0011,0xCAA3,0xF280,0x0000,0x0000,0x0000
2_0D42_FFFF_059,2,0x0D42,9,0,59,59,0,0,1,0,1,0,0xB87D,0x00E9,0x0009,0x0D42,0xF282,0x0000,0x0000,0x0000
2_FCAD_FFFF_048,2,0xFCAD,17,0,48,48,0,0,1,0,1,0,0xC090,0x0197,0x0011,0xFCAD,0xF2A3,0x0000,0x0000,0x0000
2_FDBD_FFFF_016,2,0xFDBD,17,0,16,16,0,0,1,0,1,0,0x1000,0x0197,0x0011,0xFDBD,0xF2A3,0x0000,0x0000,0x0000
2_F8E6_FFFF_024,2,0xF8E6,13,0,24,24,0,0,1,0,1,0,0xE0C8,0x019F,0x000D,0xF8E6,0xF2A4,0x0000,0x0000,0x0000
2_E169_FFFF_144,2,0xE169,16,0,144,144,0,0,1,0,1,0,0xB828,0x01B9,0x0010,0xE169,0xF286,0x0000,0x0000,0x0000
