key,bank,addr,pitch,flip,height,rows_walked,words,bytes,native,zoomed_seen,count,first_frame,w0,w1,w2,w3,w4,w5,w6,w7
2_FCBD_FFFF_032_z000,2,0xFCBD,17,1,32,32,0,0,1,0,20,0,0x9070,0x0197,0x0111,0xFCBD,0xF2A4,0x0000,0x0000,0x0000
1_1BB4_FFFF_071_z000,1,0x1BB4,11,0,71,71,0,0,1,0,7,0,0xB871,0x0133,0x000B,0x1BB4,0xF197,0x0000,0x0000,0x0000
2_FBAE_FFFF_015_z000,2,0xFBAE,3,0,15,15,0,0,1,0,5,0,0xC0B1,0x0197,0x0003,0xFBAE,0xF2A3,0x0000,0x0000,0x0000
2_FBB0_FFFF_015_z000,2,0xFBB0,3,1,15,15,0,0,1,0,5,0,0xC0B1,0x01CF,0x0103,0xFBB0,0xF2A3,0x0000,0x0000,0x0000
2_FCBD_FFFF_048_z000,2,0xFCBD,17,1,48,48,0,0,1,0,5,0,0xC090,0x0197,0x0111,0xFCBD,0xF2A4,0x0000,0x0000,0x0000
2_FDCD_FFFF_016_z000,2,0xFDCD,17,1,16,16,0,0,1,0,5,0,0x1000,0x0197,0x0111,0xFDCD,0xF2A4,0x0000,0x0000,0x0000
2_FCAD_FFFF_032_z000,2,0xFCAD,17,0,32,32,0,0,1,0,4,0,0x9070,0x0197,0x0011,0xFCAD,0xF2A3,0x0000,0x0000,0x0000
3_D02D_FFFF_048_z000,3,0xD02D,11,0,48,48,0,0,1,0,4,0,0x5424,0x00C6,0x000B,0xD02D,0xF3A0,0x0000,0x0000,0x0000
3_6212_FFFF_057_z000,3,0x6212,7,0,57,57,0,0,1,0,3,0,0xB87F,0x0193,0x0007,0x6212,0xF389,0x0000,0x0000,0x0000
3_65FA_FFFF_030_z000,3,0x65FA,4,0,30,30,0,0,1,0,3,0,0xA082,0x0193,0x0004,0x65FA,0xF38A,0x0000,0x0000,0x0000
3_6A22_FFFF_015_z000,3,0x6A22,3,0,15,15,0,0,1,0,3,0,0x8879,0x0191,0x0003,0x6A22,0xF38B,0x0000,0x0000,0x0000
2_FBD1_FFFF_016_z000,2,0xFBD1,14,0,16,16,0,0,1,0,3,0,0xC0B0,0x01A1,0x000E,0xFBD1,0xF2A3,0x0000,0x0000,0x0000
1_1BBE_FFFF_071_z000,1,0x1BBE,11,1,71,71,0,0,1,0,2,0,0xB871,0x012C,0x010B,0x1BBE,0xF198,0x0000,0x0000,0x0000
2_F8E6_FFFF_054_z000,2,0xF8E6,13,0,54,54,0,0,1,0,2,0,0x5721,0x019F,0x000D,0xF8E6,0xF2A5,0x0000,0x0000,0x0000
2_CAA3_FFFF_029_z000,2,0xCAA3,17,0,29,29,0,0,1,0,2,0,0xC0A3,0x01AB,0x0011,0xCAA3,0xF280,0x0000,0x0000,0x0000
3_01D0_FFFF_060_z14A,3,0x01D0,20,0,60,60,0,0,1,0,2,0,0xC68A,0x01B7,0x0014,0x01D0,0xF3DE,0x014A,0x0000,0x0000
3_01D0_FFFF_052_z210,3,0x01D0,20,0,52,52,0,0,1,0,2,0,0x9A66,0x01BA,0x0014,0x01D0,0xF3DF,0x0210,0x0000,0x0000
3_01D0_FFFF_046_z2D6,3,0x01D0,20,0,46,46,0,0,1,0,2,0,0x6F41,0x01BE,0x0014,0x01D0,0xF3DE,0x02D6,0x0000,0x0000
3_01D0_FFFF_074_z042,3,0x01D0,20,0,74,74,0,0,1,0,2,0,0x651B,0x019A,0x0014,0x01D0,0xF3DE,0x0042,0x0000,0x0000
3_01D0_FFFF_054_z1CE,3,0x01D0,20,0,54,54,0,0,1,0,2,0,0xBB85,0x01D2,0x0014,0x01D0,0xF3DE,0x01CE,0x0000,0x0000
3_01D0_FFFF_048_z294,3,0x01D0,20,0,48,48,0,0,1,0,2,0,0x7848,0x018D,0x0014,0x01D0,0xF3C5,0x0294,0x0000,0x0000
3_01D0_FFFF_078_z000,3,0x01D0,20,0,78,78,0,0,1,0,2,0,0xBF71,0x0171,0x0014,0x01D0,0xF3DF,0x0000,0x0000,0x0000
3_01D0_FFFF_066_z0C6,3,0x01D0,20,0,66,66,0,0,1,0,2,0,0x914F,0x019C,0x0014,0x01D0,0xF3DE,0x00C6,0x0000,0x0000
3_01D0_FFFF_057_z18C,3,0x01D0,20,0,57,57,0,0,1,0,2,0,0x642B,0x0178,0x0014,0x01D0,0xF3C5,0x018C,0x0000,0x0000
3_01D0_FFFF_050_z252,3,0x01D0,20,0,50,50,0,0,1,0,2,0,0x8957,0x01D4,0x0014,0x01D0,0xF3DE,0x0252,0x0000,0x0000
3_01D0_FFFF_045_z318,3,0x01D0,20,0,45,45,0,0,1,0,2,0,0x4E21,0x0190,0x0014,0x01D0,0xF3DF,0x0318,0x0000,0x0000
