# wolf-hunter: banked credits, auto-continue, kick-storms at wolf zones
280,y,1
290,y,0
300,y,1
310,y,0
320,y,1
330,y,0
340,y,1
350,y,0
360,y,1
370,y,0
380,y,1
390,y,0
440,start,1
450,start,0
600,right,1
660,a,1
666,a,0
684,b,1
690,b,0
708,a,1
714,a,0
732,b,1
738,b,0
756,a,1
762,a,0
780,b,1
786,b,0
804,a,1
810,a,0
828,b,1
834,b,0
852,a,1
858,a,0
876,b,1
882,b,0
900,a,1
906,a,0
924,b,1
930,b,0
948,a,1
954,a,0
972,b,1
978,b,0
996,a,1
1000,start,1
1002,a,0
1008,start,0
1020,b,1
1026,b,0
1044,a,1
1050,a,0
1068,b,1
1074,b,0
1092,a,1
1098,a,0
1116,b,1
1122,b,0
1140,a,1
1146,a,0
1164,b,1
1170,b,0
1188,a,1
1194,a,0
1212,b,1
1218,b,0
1236,a,1
1240,start,1
1242,a,0
1248,start,0
1260,b,1
1266,b,0
1284,a,1
1290,a,0
1308,b,1
1314,b,0
1332,a,1
1338,a,0
1356,b,1
1362,b,0
1380,a,1
1386,a,0
1404,b,1
1410,b,0
1428,a,1
1434,a,0
1452,b,1
1458,b,0
1476,a,1
1480,start,1
1482,a,0
1488,start,0
1500,b,1
1506,b,0
1524,a,1
1530,a,0
1548,b,1
1554,b,0
1572,a,1
1578,a,0
1596,b,1
1602,b,0
1620,a,1
1626,a,0
1644,b,1
1650,b,0
1668,a,1
1674,a,0
1692,b,1
1698,b,0
1716,a,1
1720,start,1
1722,a,0
1728,start,0
1740,b,1
1746,b,0
1764,a,1
1770,a,0
1788,b,1
1794,b,0
1812,a,1
1818,a,0
1836,b,1
1842,b,0
1860,a,1
1866,a,0
1884,b,1
1890,b,0
1908,a,1
1914,a,0
1932,b,1
1938,b,0
1956,a,1
1960,start,1
1962,a,0
1968,start,0
1980,b,1
1986,b,0
2004,a,1
2010,a,0
2028,b,1
2034,b,0
2052,a,1
2058,a,0
2076,b,1
2082,b,0
2100,a,1
2106,a,0
2124,b,1
2130,b,0
2148,a,1
2154,a,0
2172,b,1
2178,b,0
2196,a,1
2200,start,1
2202,a,0
2208,start,0
2220,b,1
2226,b,0
2244,a,1
2250,a,0
2268,b,1
2274,b,0
2292,a,1
2298,a,0
2316,b,1
2322,b,0
2340,a,1
2346,a,0
2364,b,1
2370,b,0
2388,a,1
2394,a,0
2412,b,1
2418,b,0
2436,a,1
2440,start,1
2442,a,0
2448,start,0
2460,b,1
2466,b,0
2484,a,1
2490,a,0
2508,b,1
2514,b,0
2532,a,1
2538,a,0
2556,b,1
2562,b,0
2580,a,1
2586,a,0
2604,b,1
2610,b,0
2628,a,1
2634,a,0
2652,b,1
2658,b,0
2676,a,1
2680,start,1
2682,a,0
2688,start,0
2700,b,1
2706,b,0
2724,a,1
2730,a,0
2748,b,1
2754,b,0
2772,a,1
2778,a,0
2796,b,1
2802,b,0
2820,a,1
2826,a,0
2844,b,1
2850,b,0
2868,a,1
2874,a,0
2892,b,1
2898,b,0
2916,a,1
2920,start,1
2922,a,0
2928,start,0
2940,b,1
2946,b,0
2964,a,1
2970,a,0
2988,b,1
2994,b,0
3012,a,1
3018,a,0
3036,b,1
3042,b,0
3060,a,1
3066,a,0
3084,b,1
3090,b,0
3108,a,1
3114,a,0
3132,b,1
3138,b,0
3156,a,1
3160,start,1
3162,a,0
3168,start,0
3180,b,1
3186,b,0
3204,a,1
3210,a,0
3228,b,1
3234,b,0
3252,a,1
3258,a,0
3276,b,1
3282,b,0
3300,a,1
3306,a,0
3324,b,1
3330,b,0
3348,a,1
3354,a,0
3372,b,1
3378,b,0
3396,a,1
3400,start,1
3402,a,0
3408,start,0
3420,b,1
3426,b,0
3444,a,1
3450,a,0
3468,b,1
3474,b,0
3492,a,1
3498,a,0
3516,b,1
3522,b,0
3540,a,1
3546,a,0
3564,b,1
3570,b,0
3588,a,1
3594,a,0
3612,b,1
3618,b,0
3636,a,1
3640,start,1
3642,a,0
3648,start,0
3660,b,1
3666,b,0
3684,a,1
3690,a,0
3708,b,1
3714,b,0
3732,a,1
3738,a,0
3756,b,1
3762,b,0
3780,a,1
3786,a,0
3804,b,1
3810,b,0
3828,a,1
3834,a,0
3852,b,1
3858,b,0
3876,a,1
3880,start,1
3882,a,0
3888,start,0
3900,b,1
3906,b,0
3924,a,1
3930,a,0
3948,b,1
3954,b,0
3972,a,1
3978,a,0
3996,b,1
4002,b,0
4020,a,1
4026,a,0
4044,b,1
4050,b,0
4068,a,1
4074,a,0
4092,b,1
4098,b,0
4116,a,1
4120,start,1
4122,a,0
4128,start,0
4140,b,1
4146,b,0
4164,a,1
4170,a,0
4188,b,1
4194,b,0
4212,a,1
4218,a,0
4236,b,1
4242,b,0
4260,a,1
4266,a,0
4284,b,1
4290,b,0
4308,a,1
4314,a,0
4332,b,1
4338,b,0
4356,a,1
4360,start,1
4362,a,0
4368,start,0
4380,b,1
4386,b,0
4404,a,1
4410,a,0
4428,b,1
4434,b,0
4452,a,1
4458,a,0
4476,b,1
4482,b,0
4500,a,1
4506,a,0
4524,b,1
4530,b,0
4548,a,1
4554,a,0
4572,b,1
4578,b,0
4596,a,1
4600,start,1
4602,a,0
4608,start,0
4620,b,1
4626,b,0
4644,a,1
4650,a,0
4668,b,1
4674,b,0
4692,a,1
4698,a,0
4716,b,1
4722,b,0
4740,a,1
4746,a,0
4764,b,1
4770,b,0
4788,a,1
4794,a,0
4812,b,1
4818,b,0
4836,a,1
4840,start,1
4842,a,0
4848,start,0
4860,b,1
4866,b,0
4884,a,1
4890,a,0
4908,b,1
4914,b,0
4932,a,1
4938,a,0
4956,b,1
4962,b,0
4980,a,1
4986,a,0
5004,b,1
5010,b,0
5028,a,1
5034,a,0
5052,b,1
5058,b,0
5076,a,1
5080,start,1
5082,a,0
5088,start,0
5100,b,1
5106,b,0
5124,a,1
5130,a,0
5148,b,1
5154,b,0
5172,a,1
5178,a,0
5196,b,1
5202,b,0
5220,a,1
5226,a,0
5244,b,1
5250,b,0
5268,a,1
5274,a,0
5292,b,1
5298,b,0
5316,a,1
5320,start,1
5322,a,0
5328,start,0
5340,b,1
5346,b,0
5364,a,1
5370,a,0
5388,b,1
5394,b,0
5412,a,1
5418,a,0
5436,b,1
5442,b,0
5460,a,1
5466,a,0
5484,b,1
5490,b,0
5508,a,1
5514,a,0
5532,b,1
5538,b,0
5556,a,1
5560,start,1
5562,a,0
5568,start,0
5580,b,1
5586,b,0
5604,a,1
5610,a,0
5628,b,1
5634,b,0
5652,a,1
5658,a,0
5676,b,1
5682,b,0
5700,right,0
5700,b,1
5705,b,0
5716,b,1
5721,b,0
5732,b,1
5737,b,0
5748,b,1
5753,b,0
5764,b,1
5769,b,0
5780,b,1
5785,b,0
5796,b,1
5800,start,1
5801,b,0
5808,start,0
5812,b,1
5817,b,0
5824,right,1
5830,right,0
5830,b,1
5835,b,0
5846,b,1
5851,b,0
5862,b,1
5867,b,0
5878,b,1
5883,b,0
5894,b,1
5899,b,0
5910,b,1
5915,b,0
5926,b,1
5931,b,0
5942,b,1
5947,b,0
5954,right,1
5960,right,0
5960,b,1
5965,b,0
5976,b,1
5981,b,0
5992,b,1
5997,b,0
6008,b,1
6013,b,0
6024,b,1
6029,b,0
6040,b,1
6040,start,1
6045,b,0
6048,start,0
6056,b,1
6061,b,0
6072,b,1
6077,b,0
6084,right,1
6090,right,0
6090,b,1
6095,b,0
6106,b,1
6111,b,0
6122,b,1
6127,b,0
6138,b,1
6143,b,0
6154,b,1
6159,b,0
6170,b,1
6175,b,0
6186,b,1
6191,b,0
6202,b,1
6207,b,0
6214,right,1
6220,a,1
6226,a,0
6244,b,1
6250,b,0
6268,a,1
6274,a,0
6280,start,1
6288,start,0
6292,b,1
6298,b,0
6316,a,1
6322,a,0
6340,b,1
6346,b,0
6364,a,1
6370,a,0
6388,b,1
6394,b,0
6412,a,1
6418,a,0
6436,b,1
6442,b,0
6460,a,1
6466,a,0
6484,b,1
6490,b,0
6508,a,1
6514,a,0
6520,start,1
6528,start,0
6532,b,1
6538,b,0
6556,a,1
6562,a,0
6580,b,1
6586,b,0
6604,a,1
6610,a,0
6628,b,1
6634,b,0
6652,a,1
6658,a,0
6676,b,1
6682,b,0
6700,a,1
6706,a,0
6724,b,1
6730,b,0
6748,a,1
6754,a,0
6760,start,1
6768,start,0
6772,b,1
6778,b,0
6796,a,1
6802,a,0
6820,b,1
6826,b,0
6844,a,1
6850,a,0
6868,b,1
6874,b,0
6892,a,1
6898,a,0
6916,b,1
6922,b,0
6940,a,1
6946,a,0
6964,b,1
6970,b,0
6988,a,1
6994,a,0
7000,start,1
7008,start,0
7012,b,1
7018,b,0
7036,a,1
7042,a,0
7060,b,1
7066,b,0
7084,a,1
7090,a,0
7108,b,1
7114,b,0
7132,a,1
7138,a,0
7156,b,1
7162,b,0
7180,a,1
7186,a,0
7204,b,1
7210,b,0
