key,bank,addr,pitch,flip,height,rows_walked,words,bytes,native,zoomed_seen,count,first_frame,w0,w1,w2,w3,w4,w5,w6,w7
3_1B3F_0009_040,3,0x1B3F,9,0,64,64,576,1224,1,0,12503,1399,0xE0A0,0x01E7,0x0009,0x1B3F,0xF380,0x0000,0x0000,0x1D87
4_B646_0013_025,4,0xB646,19,0,37,37,683,1411,1,0,3206,999,0xB893,0x01F5,0x0013,0xB646,0xF487,0x0000,0x0000,0xB917
3_69F5_0003_00F,3,0x69F5,3,0,15,15,39,101,1,0,1975,1002,0xC3B4,0x0161,0x0003,0x69F5,0xF38B,0x0000,0x0000,0x6A23
3_6538_0006_020,3,0x6538,6,0,32,32,170,380,1,0,1969,1002,0xDBBB,0x015D,0x0006,0x6538,0xF38A,0x0000,0x0000,0x65F9
3_77E6_0108_03D,3,0x77E6,8,1,61,61,432,933,1,0,1595,3669,0xB87B,0x00FE,0x0108,0x77E6,0xF38F,0x0000,0x0000,0x79C8
3_6212_0007_039,3,0x6212,7,0,57,57,342,749,1,0,1522,1034,0xB87F,0x0156,0x0007,0x6212,0xF389,0x0000,0x0000,0x63A7
3_65FA_0004_01E,3,0x65FA,4,0,30,30,100,238,1,0,1421,1034,0xA082,0x0156,0x0004,0x65FA,0xF38A,0x0000,0x0000,0x6673
3_6A22_0003_00F,3,0x6A22,3,0,15,15,39,101,1,0,1421,1034,0x8879,0x0154,0x0003,0x6A22,0xF38B,0x0000,0x0000,0x6A50
0_11D9_0010_03E,0,0x11D9,16,0,62,62,526,1122,1,0,1295,1007,0xB87A,0x010D,0x0010,0x11D9,0xF082,0x0000,0x0000,0x15C0
3_6051_0008_038,3,0x6051,8,0,56,56,364,792,1,0,1210,1007,0xDEA6,0x0160,0x0008,0x6051,0xF389,0x0000,0x0000,0x6218
3_77DF_0008_03D,3,0x77DF,8,0,61,61,461,991,1,0,1159,1743,0x8649,0x01F5,0x0008,0x77DF,0xF38F,0x0000,0x0000,0x79CE
3_63A1_0007_03A,3,0x63A1,7,0,58,58,353,772,1,0,1110,1050,0xB87E,0x014C,0x0007,0x63A1,0xF389,0x0000,0x0000,0x653D
0_0FE9_0008_03F,0,0x0FE9,8,0,63,63,398,867,1,0,1099,845,0xB879,0x010A,0x0008,0x0FE9,0xF082,0x0000,0x0000,0x11E7
3_666E_0008_023,3,0x666E,8,0,35,35,180,403,1,0,1082,1050,0xA17E,0x0148,0x0008,0x666E,0xF38A,0x0000,0x0000,0x6787
3_6A4F_0003_00D,3,0x6A4F,3,0,13,13,35,91,1,0,1082,1050,0x8578,0x014B,0x0003,0x6A4F,0xF38B,0x0000,0x0000,0x6A77
3_6051_0008_025,3,0x6051,8,0,37,37,224,493,1,0,906,2155,0xE0BB,0x0191,0x0008,0x6051,0xF389,0x0000,0x0000,0x617E
3_7E9F_0105_011,3,0x7E9F,5,1,17,17,78,181,1,0,901,3556,0x1706,0x00E3,0x0105,0x7E9F,0xF390,0x0000,0x0000,0x7EF1
3_7EF4_0105_012,3,0x7EF4,5,1,18,18,82,190,1,0,899,3561,0x4230,0x00E7,0x0105,0x7EF4,0xF390,0x0000,0x0000,0x7F4B
3_7E04_0105_00F,3,0x7E04,5,1,15,15,70,163,1,0,810,3663,0x9586,0x00FD,0x0105,0x7E04,0xF390,0x0000,0x0000,0x7E4C
3_7EF0_0005_012,3,0x7EF0,5,0,18,18,75,176,1,0,788,1755,0x9E8C,0x01F5,0x0005,0x7EF0,0xF390,0x0000,0x0000,0x7F4C
3_79CE_0108_03D,3,0x79CE,8,1,61,61,448,965,1,0,708,3558,0x4407,0x00E1,0x0108,0x79CE,0xF38F,0x0000,0x0000,0x7BAF
3_7E4F_0105_010,3,0x7E4F,5,1,16,16,74,172,1,0,708,3669,0x9888,0x0100,0x0105,0x7E4F,0xF390,0x0000,0x0000,0x7E9C
3_7E00_0005_00F,3,0x7E00,5,0,15,15,66,155,1,0,558,1776,0x9687,0x01EF,0x0005,0x7E00,0xF390,0x0000,0x0000,0x7E4F
3_1B47_0109_040,3,0x1B47,9,1,64,64,576,1224,1,0,405,439,0xB878,0x0107,0x0109,0x1B47,0xF380,0x0000,0x0000,0xCDCB
3_8B83_010A_047,3,0x8B83,10,1,71,71,565,1209,1,0,400,5018,0x7D36,0x0091,0x010A,0x8B83,0xF392,0x0000,0x0000,0x8E40
3_9041_010A_048,3,0x9041,10,1,72,72,562,1204,1,0,400,5027,0xA55D,0x009A,0x010A,0x9041,0xF392,0x0000,0x0000,0x9308
3_75EE_0108_03F,3,0x75EE,8,1,63,63,448,967,1,0,397,3663,0xB879,0x00FC,0x0108,0x75EE,0xF38F,0x0000,0x0000,0x77E0
3_7E9B_0005_011,3,0x7E9B,5,0,17,17,72,169,1,0,374,1749,0x8877,0x01FB,0x0005,0x7E9B,0xF390,0x0000,0x0000,0x7EF2
3_242F_0013_025,3,0x242F,19,0,37,37,683,1411,1,0,372,998,0xB893,0x01F5,0x0013,0x242F,0xF387,0x0000,0x0000,0x2700
3_8E49_0107_048,3,0x8E49,7,1,72,72,434,948,1,0,366,5026,0x9F57,0x009D,0x0107,0x8E49,0xF392,0x0000,0x0000,0x903C
3_7BB6_010A_03B,3,0x7BB6,10,1,59,59,519,1105,1,0,362,3561,0x5C21,0x00DE,0x010A,0x7BB6,0xF38F,0x0000,0x0000,0x7DFB
4_CDCB_0015_01B,4,0xCDCB,21,0,27,27,547,1129,1,0,352,36,0xB89D,0x01FF,0x0015,0xCDCB,0xF480,0x0000,0x0000,0xD016
3_79C7_0008_03D,3,0x79C7,8,0,61,61,461,991,1,0,320,1749,0xA568,0x01F2,0x0008,0x79C7,0xF38F,0x0000,0x0000,0x7BB6
3_8578_0009_032,3,0x8578,9,0,50,50,409,876,1,0,310,2488,0x7846,0x0104,0x0009,0x8578,0xF38F,0x0000,0x0000,0x8741
0_0312_0009_03F,0,0x0312,9,0,63,63,480,1031,1,0,306,851,0xB879,0x0108,0x0009,0x0312,0xF082,0x0000,0x0000,0x0551
3_7E4B_0005_010,3,0x7E4B,5,0,16,16,69,162,1,0,303,1743,0x6656,0x01FF,0x0005,0x7E4B,0xF390,0x0000,0x0000,0x7E9D
0_054D_0005_040,0,0x054D,5,0,64,64,276,624,1,0,274,847,0xB878,0x0111,0x0005,0x054D,0xF082,0x0000,0x0000,0x0691
0_0FF0_0108_03F,0,0x0FF0,8,1,63,63,466,1003,1,0,262,1148,0xB879,0x010F,0x0108,0x0FF0,0xF082,0x0000,0x0000,0x11E1
0_11E8_0110_03E,0,0x11E8,16,1,62,62,833,1736,1,0,227,1167,0xB87A,0x00E7,0x0110,0x11E8,0xF082,0x0000,0x0000,0x15BA
6_8116_0018_01F,6,0x8116,24,0,31,31,709,1457,0,223,223,6978,0x1F00,0x0136,0x0018,0x8116,0xF680,0x3A52,0x0000,0x85AD
3_7F4E_010B_03D,3,0x7F4E,11,1,61,61,471,1011,1,0,211,4078,0xB87B,0x0134,0x010B,0x7F4E,0xF38F,0x0000,0x0000,0x81E7
3_75E7_0008_03F,3,0x75E7,8,0,63,63,471,1013,1,0,176,1737,0x7839,0x01F8,0x0008,0x75E7,0xF38F,0x0000,0x0000,0x77E5
0_15BC_000D_03F,0,0x15BC,13,0,63,63,554,1179,1,0,173,1003,0xB879,0x010A,0x000D,0x15BC,0xF082,0x0000,0x0000,0x18F7
0_18F4_0008_03F,0,0x18F4,8,0,63,63,422,915,1,0,168,1005,0xB879,0x0110,0x0008,0x18F4,0xF082,0x0000,0x0000,0x1AF3
3_348D_0016_030,3,0x348D,22,0,48,48,806,1668,1,0,163,3199,0xB888,0x01C8,0x0016,0x348D,0xF391,0x0000,0x0000,0x38B6
0_0551_0105_040,0,0x0551,5,1,64,64,270,612,1,0,159,1154,0xB878,0x0115,0x0105,0x0551,0xF082,0x0000,0x0000,0x068E
3_7BAD_000A_03B,3,0x7BAD,10,0,59,59,501,1069,1,0,159,1755,0xB87D,0x01EA,0x000A,0x7BAD,0xF38F,0x0000,0x0000,0x7E03
0_3577_0110_023,0,0x3577,16,1,35,35,365,773,1,0,150,4620,0x8A67,0x015D,0x0110,0x3577,0xF082,0x0000,0x0000,0x37A3
0_031A_0109_03F,0,0x031A,9,1,63,63,416,903,1,0,141,1158,0xB879,0x010C,0x0109,0x031A,0xF082,0x0000,0x0000,0x054E
3_9665_010B_047,3,0x9665,11,1,71,71,622,1323,1,0,135,5111,0xB871,0x00E6,0x010B,0x9665,0xF392,0x0000,0x0000,0x9969
0_37A7_0112_00A,0,0x37A7,18,1,10,10,161,340,1,0,120,5155,0x887E,0x018D,0x0112,0x37A7,0xF082,0x0000,0x0000,0x384A
0_339A_0109_035,0,0x339A,9,1,53,53,413,887,1,0,117,4608,0xB17C,0x0154,0x0109,0x339A,0xF082,0x0000,0x0000,0x3571
3_7F44_000B_03D,3,0x7F44,11,0,61,61,644,1357,1,0,110,2522,0x783B,0x00FE,0x000B,0x7F44,0xF38F,0x0000,0x0000,0x81ED
3_9311_010C_047,3,0x9311,12,1,71,71,644,1367,1,0,100,5216,0xB871,0x0105,0x010C,0x9311,0xF392,0x0000,0x0000,0x965C
3_6DF9_000C_024,3,0x6DF9,12,0,36,36,406,856,1,0,93,1150,0x8763,0x012E,0x000C,0x6DF9,0xF3C9,0x0000,0x0000,0x6FAF
2_0D4A_0109_03B,2,0x0D4A,9,1,59,59,466,999,1,0,91,4093,0xB87D,0x0151,0x0109,0x0D4A,0xF282,0x0000,0x0000,0x0F55
3_223D_0007_018,3,0x223D,7,0,24,24,137,306,1,0,90,844,0xB79F,0x0104,0x0007,0x223D,0xF3C0,0x0000,0x0000,0x22EB
3_7188_010B_022,3,0x7188,11,1,34,34,330,702,1,0,90,1240,0x8A68,0x00D6,0x010B,0x7188,0xF38E,0x0000,0x0000,0x72FA
1_0005_0101_001,1,0x0005,1,1,1,1,1,11,1,0,85,1240,0xADAC,0x00EA,0x0101,0x0005,0xF18E,0x0000,0x0000,0x0006
0_3568_0010_023,0,0x3568,16,0,35,35,413,869,1,0,81,3389,0x8A67,0x00B1,0x0010,0x3568,0xF082,0x0000,0x0000,0x37A5
3_1D82_0006_01F,3,0x1D82,6,0,31,31,177,393,1,18,81,856,0x8A6B,0x00D1,0x0006,0x1D82,0xF3C0,0x7C21,0x0000,0x1E3F
3_1E38_000A_030,3,0x1E38,10,0,48,48,480,1016,1,0,81,859,0x8B5B,0x0139,0x000A,0x1E38,0xF3C0,0x0000,0x0000,0x2021
3_34A2_0116_030,3,0x34A2,22,1,48,48,989,2034,1,0,74,4823,0x7848,0x00D6,0x0116,0x34A2,0xF391,0x0000,0x0000,0x38B4
