# round quad which0 which1 frames firstframe attractstep progress
  0 0   2  7     902     120  0x08   0
  0 1   1  6     902     120  0x08   0
  0 2   2  7     902     120  0x08   0
  0 3   1  6     902     120  0x08   0
  0 0   0  0     101     444  0x08   0
  0 1   0  0     101     444  0x08   0
  0 2   0  0     101     444  0x08   0
  0 3   0  0     101     444  0x08   0
  0 0   1  6    2644     465  0x0C   0
  0 1   0  5    2914     465  0x0C   0
  0 2   1  6    2644     465  0x0C   0
  0 3   0  5    2914     465  0x0C   0
  0 0  10 11     218    1056  0x0C   0
  0 1  10 11     218    1056  0x0C   0
  0 2  10 11     218    1056  0x0C   0
  0 3  10 11     218    1056  0x0C   0
  0 0   0  5     270    1343  0x10   0
  0 2   0  5     270    1343  0x10   0
  1 0   0  0      23    2686  0x04   1
  1 1   0  0      23    2686  0x04   1
  1 2   0  0      23    2686  0x04   1
  1 3   0  0      23    2686  0x04   1
  1 0   0  5       2    2702  0x04   1
  1 1   0  5     699    2702  0x04   1
  1 2   0  5       2    2702  0x04   1
  1 3   0  5     699    2702  0x04   1
  1 0   1  6     697    2704  0x04   1
  1 2   1  6     697    2704  0x04   1
  1 0   2  7     424    3405  0x08   1
  1 1   1  6     424    3405  0x08   1
  1 2   2  7     424    3405  0x08   1
  1 3   1  6     424    3405  0x08   1
