# forced round 2
# round bank quad which0 which1 frames firstframe
  0  1 0   2  7     264     180
  0  1 1   1  6     264     180
  0  1 2   2  7     264     180
  0  1 3   1  6     264     180
  0  1 0   0  0      11     444
  0  1 1   0  0      11     444
  0  1 2   0  0      11     444
  0  1 3   0  0      11     444
  2  1 0   0  0     193     448
  2  1 1   0  0     193     448
  2  1 2   0  0     193     448
  2  1 3   0  0     193     448
  2  1 0   1  6    5513     465
  2  1 1   0  5    5923     465
  2  1 2   1  6    5513     465
  2  1 3   0  5    5923     465
  2  1 0   0  5     410    1253
  2  1 2   0  5     410    1253
  2  1 0   2  7    2004    2116
  2  1 1   1  6    2004    2116
  2  1 2   2  7    2004    2116
  2  1 3   1  6    2004    2116
  2  1 0  10 11     426    3181
  2  1 1  10 11     426    3181
  2  1 2  10 11     426    3181
  2  1 3  10 11     426    3181
